,hours,temp,hum
0,47,26.30000000000001,79
1,46,26.269999999999982,80
2,45,26.20999999999998,81
3,44,26.079999999999984,82
4,43,25.879999999999995,84
5,42,25.54000000000002,85
6,41,25.0,88
7,40,24.80000000000001,88
8,39,24.69999999999999,87
9,38,24.80000000000001,86
10,37,26.379999999999995,77
11,36,28.399999999999977,66
12,35,30.49000000000001,57
13,34,32.360000000000014,50
14,33,33.889999999999986,44
15,32,35.02999999999997,40
16,31,35.69999999999999,36
17,30,36.04000000000002,34
18,29,35.870000000000005,34
19,28,35.31,35
20,27,34.45999999999998,38
21,26,32.139999999999986,46
22,25,30.519999999999982,55
23,24,29.180000000000007,63
24,23,28.139999999999986,69
25,22,27.310000000000002,73
26,21,26.839999999999975,76
27,20,26.480000000000018,79
28,19,26.100000000000023,81
29,18,25.730000000000018,83
30,17,25.44999999999999,84
31,16,25.220000000000027,85
32,15,25.029999999999973,86
33,14,25.05000000000001,86
34,13,26.44999999999999,79
35,12,28.310000000000002,70
36,11,30.319999999999993,60
37,10,32.44,51
38,9,34.26999999999998,44
39,8,35.579999999999984,39
40,7,36.51999999999998,34
41,6,37.06999999999999,30
42,5,37.20999999999998,27
43,4,36.879999999999995,27
44,3,35.81,30
45,2,32.079999999999984,45
46,1,29.829999999999984,57
47,0,28.470000000000027,66
